Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
62.0,31416.7, 4, 43.0742857638, 141.3372300673,14.645000, 527453.9411,4769119.3359,0.02,333.120, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62.5,31417.2, 4, 43.0742909558, 141.3372266502,14.646000, 527453.6606,4769119.9113,0.02,334.670, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63.0,31417.7, 4, 43.0742962463, 141.3372231890,14.639000, 527453.3764,4769120.4977,0.02,336.740, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63.5,31418.2, 4, 43.0743016627, 141.3372199267,14.635000, 527453.1084,4769121.0981,0.02,337.370, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64.0,31418.7, 4, 43.0743067498, 141.3372160930,14.627000, 527452.7941,4769121.6618,0.02,333.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64.5,31419.2, 4, 43.0743116380, 141.3372122362,14.622000, 527452.4779,4769122.2034,0.02,332.180, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65.0,31419.7, 4, 43.0743163423, 141.3372077800,14.633000, 527452.1130,4769122.7243,0.02,323.420, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65.5,31420.2, 4, 43.0743204348, 141.3372022978,14.628000, 527451.6649,4769123.1770,0.02,311.590, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66.0,31420.7, 4, 43.0743239690, 141.3371962775,14.617000, 527451.1732,4769123.5675,0.02,300.610, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66.5,31421.2, 4, 43.0743270083, 141.3371895800,14.609000, 527450.6266,4769123.9028,0.02,294.890, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67.0,31421.7, 4, 43.0743293727, 141.3371825872,14.616000, 527450.0563,4769124.1631,0.01,293.980, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67.5,31422.2, 4, 43.0743310762, 141.3371751730,14.611000, 527449.4519,4769124.3499,0.01,294.170, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68.0,31422.7, 4, 43.0743322007, 141.3371677320,14.607000, 527448.8456,4769124.4723,0.01,303.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68.5,31423.2, 4, 43.0743326915, 141.3371598190,14.606000, 527448.2012,4769124.5242,0.01,296.260, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69.0,31423.7, 4, 43.0743330113, 141.3371517670,14.599000, 527447.5456,4769124.5571,0.01,288.760, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69.5,31424.2, 4, 43.0743326983, 141.3371437288,14.583000, 527446.8913,4769124.5197,0.01,283.870, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70.0,31424.7, 4, 43.0743312850, 141.3371359323,14.572000, 527446.2572,4769124.3602,0.01,274.440, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70.5,31425.2, 4, 43.0743294472, 141.3371282637,14.559000, 527445.6337,4769124.1536,1.58,258.910, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71.0,31425.7, 4, 43.0743273837, 141.3371207378,14.542000, 527445.0220,4769123.9220,0.49,254.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71.5,31426.2, 4, 43.0743251162, 141.3371133697,14.523000, 527444.4232,4769123.6678,0.43,245.140, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72.0,31426.7, 4, 43.0743222262, 141.3371060367,14.508000, 527443.8275,4769123.3445,0.36,243.580, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72.5,31427.2, 4, 43.0743191582, 141.3370994483,14.493000, 527443.2925,4769123.0016,0.20,240.080, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73.0,31427.7, 4, 43.0743160802, 141.3370927787,14.477000, 527442.7509,4769122.6576,0.19,239.410, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
